,word,cos
1229,sobresaltas,0.69111747
13,aborreci,0.6915045
163,antipatiza,0.6929947
546,envidi,0.69498724
776,indigno,0.69532573
824,iracund,0.6955987
319,cinismo,0.69629633
1227,sobresaltaré,0.696522
1221,sobresaltáis,0.69856596
454,desgracia,0.69902575
1226,sobresaltará,0.70286036
1318,triste,0.70382947
424,desafortunad,0.7048291
1293,terquedad,0.7058283
463,despecha,0.70753205
449,desespera,0.70902807
15,abruma,0.7094302
630,fastidio,0.7130494
248,avergonza,0.71543777
136,amo,0.7225918
1147,rencoros,0.72326505
1230,sobresaltast,0.7239421
581,exaspera,0.7408918
775,indigna,0.7461698
278,burla,0.7515183
425,desagrad,0.76587975
